sku,intent,question,answer
TCX-LT-001,product_price,NovaBook Air 14 Plus giá bao nhiêu?,NovaBook Air 14 Plus hiện có giá niêm yết 9.990.000 VND.
TCX-LT-001,product_info,NovaBook Air 14 Plus có thông số gì nổi bật?,"NovaBook Air 14 Plus có thông số chính: Intel Core i5, RAM 16GB, SSD 512GB, màn hình 14 inch, pin 7-9 giờ."
TCX-LT-001,product_recommendation,NovaBook Air 14 Plus phù hợp với nhu cầu nào?,"NovaBook Air 14 Plus phù hợp với nhu cầu: học tập, văn phòng, học online."
TCX-LT-001,product_warranty,NovaBook Air 14 Plus bảo hành bao lâu?,NovaBook Air 14 Plus được bảo hành 24 tháng.
TCX-LT-001,product_category,NovaBook Air 14 Plus thuộc nhóm sản phẩm nào?,NovaBook Air 14 Plus thuộc nhóm laptop.
TCX-LT-002,product_price,NovaBook Pro 14 giá bao nhiêu?,NovaBook Pro 14 hiện có giá niêm yết 10.720.000 VND.
TCX-LT-002,product_info,NovaBook Pro 14 có thông số gì nổi bật?,"NovaBook Pro 14 có thông số chính: Intel Core i7, RAM 16GB, SSD 1TB, màn hình 14 inch 2.5K."
TCX-LT-002,product_recommendation,NovaBook Pro 14 phù hợp với nhu cầu nào?,"NovaBook Pro 14 phù hợp với nhu cầu: văn phòng cao cấp, lập trình, thiết kế nhẹ."
TCX-LT-002,product_warranty,NovaBook Pro 14 bảo hành bao lâu?,NovaBook Pro 14 được bảo hành 24 tháng.
TCX-LT-002,product_category,NovaBook Pro 14 thuộc nhóm sản phẩm nào?,NovaBook Pro 14 thuộc nhóm laptop.
TCX-LT-003,product_price,EduBook 13 Lite giá bao nhiêu?,EduBook 13 Lite hiện có giá niêm yết 11.450.000 VND.
TCX-LT-003,product_info,EduBook 13 Lite có thông số gì nổi bật?,"EduBook 13 Lite có thông số chính: Intel Core i3, RAM 8GB, SSD 256GB, màn hình 13.3 inch."
TCX-LT-003,product_recommendation,EduBook 13 Lite phù hợp với nhu cầu nào?,"EduBook 13 Lite phù hợp với nhu cầu: học sinh, sinh viên, tác vụ cơ bản."
TCX-LT-003,product_warranty,EduBook 13 Lite bảo hành bao lâu?,EduBook 13 Lite được bảo hành 24 tháng.
TCX-LT-003,product_category,EduBook 13 Lite thuộc nhóm sản phẩm nào?,EduBook 13 Lite thuộc nhóm laptop.
TCX-LT-004,product_price,GamePro 15 Neo giá bao nhiêu?,GamePro 15 Neo hiện có giá niêm yết 12.180.000 VND.
TCX-LT-004,product_info,GamePro 15 Neo có thông số gì nổi bật?,"GamePro 15 Neo có thông số chính: AMD Ryzen 7, RAM 16GB, SSD 1TB, GPU RTX 4060, màn hình 144Hz."
TCX-LT-004,product_recommendation,GamePro 15 Neo phù hợp với nhu cầu nào?,"GamePro 15 Neo phù hợp với nhu cầu: chơi game, đồ họa, render video."
TCX-LT-004,product_warranty,GamePro 15 Neo bảo hành bao lâu?,GamePro 15 Neo được bảo hành 24 tháng.
TCX-LT-004,product_category,GamePro 15 Neo thuộc nhóm sản phẩm nào?,GamePro 15 Neo thuộc nhóm laptop.
TCX-LT-005,product_price,GamePro 17 giá bao nhiêu?,GamePro 17 hiện có giá niêm yết 12.910.000 VND.
TCX-LT-005,product_info,GamePro 17 có thông số gì nổi bật?,"GamePro 17 có thông số chính: Intel Core i7, RAM 32GB, SSD 1TB, GPU RTX 4070, màn hình 17 inch 165Hz."
TCX-LT-005,product_recommendation,GamePro 17 phù hợp với nhu cầu nào?,"GamePro 17 phù hợp với nhu cầu: gaming nặng, dựng phim, 3D."
TCX-LT-005,product_warranty,GamePro 17 bảo hành bao lâu?,GamePro 17 được bảo hành 24 tháng.
TCX-LT-005,product_category,GamePro 17 thuộc nhóm sản phẩm nào?,GamePro 17 thuộc nhóm laptop.
TCX-LT-006,product_price,WorkMate 15 giá bao nhiêu?,WorkMate 15 hiện có giá niêm yết 13.640.000 VND.
TCX-LT-006,product_info,WorkMate 15 có thông số gì nổi bật?,"WorkMate 15 có thông số chính: Intel Core i5, RAM 16GB, SSD 512GB, màn hình 15.6 inch."
TCX-LT-006,product_recommendation,WorkMate 15 phù hợp với nhu cầu nào?,"WorkMate 15 phù hợp với nhu cầu: kế toán, văn phòng, làm việc nhiều tab."
TCX-LT-006,product_warranty,WorkMate 15 bảo hành bao lâu?,WorkMate 15 được bảo hành 24 tháng.
TCX-LT-006,product_category,WorkMate 15 thuộc nhóm sản phẩm nào?,WorkMate 15 thuộc nhóm laptop.
TCX-LT-007,product_price,CreatorBook 16 giá bao nhiêu?,CreatorBook 16 hiện có giá niêm yết 14.370.000 VND.
TCX-LT-007,product_info,CreatorBook 16 có thông số gì nổi bật?,"CreatorBook 16 có thông số chính: AMD Ryzen 9, RAM 32GB, SSD 1TB, GPU RTX 4060, màn hình 16 inch 2.5K."
TCX-LT-007,product_recommendation,CreatorBook 16 phù hợp với nhu cầu nào?,"CreatorBook 16 phù hợp với nhu cầu: thiết kế, edit video, sáng tạo nội dung."
TCX-LT-007,product_warranty,CreatorBook 16 bảo hành bao lâu?,CreatorBook 16 được bảo hành 24 tháng.
TCX-LT-007,product_category,CreatorBook 16 thuộc nhóm sản phẩm nào?,CreatorBook 16 thuộc nhóm laptop.
TCX-LT-008,product_price,MiniBook Go 12 giá bao nhiêu?,MiniBook Go 12 hiện có giá niêm yết 15.100.000 VND.
TCX-LT-008,product_info,MiniBook Go 12 có thông số gì nổi bật?,"MiniBook Go 12 có thông số chính: Intel N-series, RAM 8GB, SSD 256GB, màn hình 12 inch."
TCX-LT-008,product_recommendation,MiniBook Go 12 phù hợp với nhu cầu nào?,"MiniBook Go 12 phù hợp với nhu cầu: mang đi học, ghi chú, làm việc nhẹ."
TCX-LT-008,product_warranty,MiniBook Go 12 bảo hành bao lâu?,MiniBook Go 12 được bảo hành 24 tháng.
TCX-LT-008,product_category,MiniBook Go 12 thuộc nhóm sản phẩm nào?,MiniBook Go 12 thuộc nhóm laptop.
TCX-LT-009,product_price,UltraBook Flex 14 giá bao nhiêu?,UltraBook Flex 14 hiện có giá niêm yết 15.830.000 VND.
TCX-LT-009,product_info,UltraBook Flex 14 có thông số gì nổi bật?,"UltraBook Flex 14 có thông số chính: Intel Core Ultra 5, RAM 16GB, SSD 512GB, màn hình cảm ứng gập 360 độ."
