id,intent,question,answer,source_ids,requires_handoff,suggested_action
qa_0001,product_price,Laptop NovaBook Air 14 giá bao nhiêu?,Laptop NovaBook Air 14 hiện có giá niêm yết 14.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-001,False,answer
qa_0002,product_price,Cho mình hỏi giá Laptop NovaBook Air 14 với,Laptop NovaBook Air 14 hiện có giá niêm yết 14.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-001,False,answer
qa_0003,product_price,Laptop NovaBook Air 14 hiện đang bán giá nào?,Laptop NovaBook Air 14 hiện có giá niêm yết 14.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-001,False,answer
qa_0004,product_price,Sản phẩm Laptop NovaBook Air 14 bao nhiêu tiền?,Laptop NovaBook Air 14 hiện có giá niêm yết 14.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-001,False,answer
qa_0005,product_price,Báo giá giúp mình Laptop NovaBook Air 14,Laptop NovaBook Air 14 hiện có giá niêm yết 14.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-001,False,answer
qa_0006,product_info,Laptop NovaBook Air 14 cấu hình thế nào?,"Laptop NovaBook Air 14 có thông tin chính: Intel Core i5 thế hệ 13, RAM 16GB, SSD 512GB, màn hình 14 inch Full HD, pin 7-9 giờ. Sản phẩm phù hợp với nhu cầu sinh viên, nhân viên văn phòng, học online, Word, Excel, PowerPoint, lập trình cơ bản và thiết kế nhẹ.",TC-LT-001,False,answer
qa_0007,product_info,Thông số chính của Laptop NovaBook Air 14 là gì?,"Laptop NovaBook Air 14 có thông tin chính: Intel Core i5 thế hệ 13, RAM 16GB, SSD 512GB, màn hình 14 inch Full HD, pin 7-9 giờ. Sản phẩm phù hợp với nhu cầu sinh viên, nhân viên văn phòng, học online, Word, Excel, PowerPoint, lập trình cơ bản và thiết kế nhẹ.",TC-LT-001,False,answer
qa_0008,product_info,Laptop NovaBook Air 14 có điểm gì nổi bật?,"Laptop NovaBook Air 14 có thông tin chính: Intel Core i5 thế hệ 13, RAM 16GB, SSD 512GB, màn hình 14 inch Full HD, pin 7-9 giờ. Sản phẩm phù hợp với nhu cầu sinh viên, nhân viên văn phòng, học online, Word, Excel, PowerPoint, lập trình cơ bản và thiết kế nhẹ.",TC-LT-001,False,answer
qa_0009,product_info,Mô tả nhanh giúp mình Laptop NovaBook Air 14,"Laptop NovaBook Air 14 có thông tin chính: Intel Core i5 thế hệ 13, RAM 16GB, SSD 512GB, màn hình 14 inch Full HD, pin 7-9 giờ. Sản phẩm phù hợp với nhu cầu sinh viên, nhân viên văn phòng, học online, Word, Excel, PowerPoint, lập trình cơ bản và thiết kế nhẹ.",TC-LT-001,False,answer
qa_0010,product_info,Laptop NovaBook Air 14 phù hợp với nhu cầu nào?,"Laptop NovaBook Air 14 có thông tin chính: Intel Core i5 thế hệ 13, RAM 16GB, SSD 512GB, màn hình 14 inch Full HD, pin 7-9 giờ. Sản phẩm phù hợp với nhu cầu sinh viên, nhân viên văn phòng, học online, Word, Excel, PowerPoint, lập trình cơ bản và thiết kế nhẹ.",TC-LT-001,False,answer
qa_0011,product_warranty,Laptop NovaBook Air 14 bảo hành bao lâu?,"Laptop NovaBook Air 14 được bảo hành 24 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-001, policy_warranty",False,answer
qa_0012,product_warranty,Thời gian bảo hành của Laptop NovaBook Air 14 là mấy tháng?,"Laptop NovaBook Air 14 được bảo hành 24 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-001, policy_warranty",False,answer
qa_0013,product_warranty,Mua Laptop NovaBook Air 14 thì được bảo hành như thế nào?,"Laptop NovaBook Air 14 được bảo hành 24 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-001, policy_warranty",False,answer
qa_0014,product_price,Laptop GamePro 15 giá bao nhiêu?,Laptop GamePro 15 hiện có giá niêm yết 24.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-002,False,answer
qa_0015,product_price,Cho mình hỏi giá Laptop GamePro 15 với,Laptop GamePro 15 hiện có giá niêm yết 24.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-002,False,answer
qa_0016,product_price,Laptop GamePro 15 hiện đang bán giá nào?,Laptop GamePro 15 hiện có giá niêm yết 24.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-002,False,answer
qa_0017,product_price,Sản phẩm Laptop GamePro 15 bao nhiêu tiền?,Laptop GamePro 15 hiện có giá niêm yết 24.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-002,False,answer
qa_0018,product_price,Báo giá giúp mình Laptop GamePro 15,Laptop GamePro 15 hiện có giá niêm yết 24.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-002,False,answer
qa_0019,product_info,Laptop GamePro 15 cấu hình thế nào?,"Laptop GamePro 15 có thông tin chính: AMD Ryzen 7, RAM 16GB, SSD 1TB, GPU RTX 4060, màn hình 15.6 inch 144Hz. Sản phẩm phù hợp với nhu cầu chơi game, đồ họa 2D/3D, render video và học ngành kỹ thuật.",TC-LT-002,False,answer
qa_0020,product_info,Thông số chính của Laptop GamePro 15 là gì?,"Laptop GamePro 15 có thông tin chính: AMD Ryzen 7, RAM 16GB, SSD 1TB, GPU RTX 4060, màn hình 15.6 inch 144Hz. Sản phẩm phù hợp với nhu cầu chơi game, đồ họa 2D/3D, render video và học ngành kỹ thuật.",TC-LT-002,False,answer
qa_0021,product_info,Laptop GamePro 15 có điểm gì nổi bật?,"Laptop GamePro 15 có thông tin chính: AMD Ryzen 7, RAM 16GB, SSD 1TB, GPU RTX 4060, màn hình 15.6 inch 144Hz. Sản phẩm phù hợp với nhu cầu chơi game, đồ họa 2D/3D, render video và học ngành kỹ thuật.",TC-LT-002,False,answer
qa_0022,product_info,Mô tả nhanh giúp mình Laptop GamePro 15,"Laptop GamePro 15 có thông tin chính: AMD Ryzen 7, RAM 16GB, SSD 1TB, GPU RTX 4060, màn hình 15.6 inch 144Hz. Sản phẩm phù hợp với nhu cầu chơi game, đồ họa 2D/3D, render video và học ngành kỹ thuật.",TC-LT-002,False,answer
qa_0023,product_info,Laptop GamePro 15 phù hợp với nhu cầu nào?,"Laptop GamePro 15 có thông tin chính: AMD Ryzen 7, RAM 16GB, SSD 1TB, GPU RTX 4060, màn hình 15.6 inch 144Hz. Sản phẩm phù hợp với nhu cầu chơi game, đồ họa 2D/3D, render video và học ngành kỹ thuật.",TC-LT-002,False,answer
qa_0024,product_warranty,Laptop GamePro 15 bảo hành bao lâu?,"Laptop GamePro 15 được bảo hành 24 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-002, policy_warranty",False,answer
qa_0025,product_warranty,Thời gian bảo hành của Laptop GamePro 15 là mấy tháng?,"Laptop GamePro 15 được bảo hành 24 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-002, policy_warranty",False,answer
qa_0026,product_warranty,Mua Laptop GamePro 15 thì được bảo hành như thế nào?,"Laptop GamePro 15 được bảo hành 24 tháng. Nếu cần bảo hành, bạn vui lòng cung cấp mã đơn hàng, số điện thoại mua hàng, mô tả lỗi và hình ảnh/video nếu có.","TC-LT-002, policy_warranty",False,answer
qa_0027,product_price,Laptop EduBook 13 giá bao nhiêu?,Laptop EduBook 13 hiện có giá niêm yết 9.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-003,False,answer
qa_0028,product_price,Cho mình hỏi giá Laptop EduBook 13 với,Laptop EduBook 13 hiện có giá niêm yết 9.990.000 VND. Giá thực tế có thể thay đổi nếu áp dụng voucher hoặc chương trình khuyến mãi.,TC-LT-003,False,answer
